workload,size,implementation,status,replicates,median_ms,p25_ms,p75_ms,min_ms,max_ms,mad_ms,container_init_median_ms,user_build_total_median_ms,peak_rss_median_bytes,speedup_vs_baseline
bess_96,1,pulp_python,ok,7,1.55247,1.54717,1.56081,1.54561,1.57961,0.0053,0.00181,1.55428,137809920,2.16797
bess_96,1,pyomo_python,ok,7,1.00323,0.998497,1.02221,0.997407,2.27137,0.005821,0.01908,1.02231,137588736,1.40098
bess_96,1,pyoptinterface_python,ok,7,0.883525,0.868365,0.912896,0.866706,0.924056,0.016819,0.032221,0.915746,139309056,1.23381
bess_96,1,roml_core_rust,ok,7,0.288475,0.288215,0.294535,0.286875,0.295325,0.0016,0.00018,0.288655,3321856,1
bess_96,1,roml_python_bulk,ok,7,0.716092,0.714543,0.737943,0.710482,0.757263,0.00561,0.00075,0.716842,138375168,1
bess_96,1,roml_python_scalar,ok,7,0.798905,0.794674,0.838795,0.790863,0.887746,0.008042,0.00074,0.799645,138362880,2.76941
bess_96,3,pulp_python,ok,7,4.42058,4.40922,4.47848,4.40829,5.43334,0.01229,0.00182,4.4224,138383360,2.34324
bess_96,3,pyomo_python,ok,7,3.04471,2.82821,3.07821,2.78212,3.13532,0.0335,0.0193,3.06401,138256384,1.61393
bess_96,3,pyoptinterface_python,ok,7,2.21743,2.20764,2.24541,2.17527,2.27982,0.00979,0.032941,2.25037,139640832,1.17541
bess_96,3,roml_core_rust,ok,7,0.828645,0.812624,0.857125,0.797534,0.932967,0.016021,0.00017,0.828815,4087808,1
bess_96,3,roml_python_bulk,ok,7,1.88652,1.86961,1.94825,1.84463,1.99484,0.02147,0.0008,1.88732,139431936,1
bess_96,3,roml_python_scalar,ok,7,2.58297,2.55929,2.6156,2.53105,2.64998,0.023681,0.00069,2.58366,139407360,3.1171
bess_96,10,pulp_python,ok,7,15.2944,15.227,15.7323,15.2137,15.8708,0.067371,0.00164,15.2961,140570624,2.55263
bess_96,10,pyomo_python,ok,7,6.45413,6.38136,6.68761,6.28834,6.83702,0.072771,0.01923,6.47336,140083200,1.07719
bess_96,10,pyoptinterface_python,ok,7,6.84562,6.80248,6.84954,6.80239,6.87461,0.01354,0.032461,6.87808,140476416,1.14253
bess_96,10,roml_core_rust,ok,7,2.87221,2.86586,2.91725,2.85396,2.92244,0.01825,0.00017,2.87238,6959104,1
bess_96,10,roml_python_bulk,ok,7,5.99164,5.97469,6.02313,5.96351,6.07554,0.016941,0.00086,5.9925,142458880,1
bess_96,10,roml_python_scalar,ok,7,12.0057,11.965,12.2052,11.8465,12.2438,0.04064,0.00075,12.0064,142344192,4.17993
bess_96,30,pulp_python,ok,7,43.9501,43.68,44.7337,43.464,44.9203,0.486108,0.00182,43.952,146808832,2.18148
bess_96,30,pyomo_python,ok,7,36.7661,34.1441,37.7842,33.5287,38.6469,1.0181,0.019691,36.7858,145051648,1.82489
