workload,size,implementation,variant,status,replicates,median_ms,p25_ms,p75_ms,min_ms,max_ms,mad_ms,container_init_median_ms,user_build_total_median_ms,peak_rss_median_bytes,speedup_vs_baseline,phase_variables_ms,phase_constraints_ms,phase_objective_ms
bess_96,1,pulp_python,canonical,ok,7,1.54151,1.5384,1.55782,1.48142,1.56859,0.011731,0.00174,1.54325,136867840,4.99088,0.274474,1.0523,0.220334
bess_96,1,pyomo_python,canonical,ok,7,1.03246,1.0067,2.00022,0.987627,2.46942,0.040541,0.01991,1.05237,136908800,3.34275,0.402377,0.504149,0.119762
bess_96,1,pyoptinterface_python,canonical,ok,7,0.873866,0.867275,0.884846,0.867265,0.892856,0.006591,0.030941,0.904807,138522624,2.82928,0.312845,0.530299,0.03198
bess_96,1,pyoptinterface_scalar,canonical,ok,7,0.456088,0.451948,0.460689,0.447648,0.489168,0.00414,0.026641,0.482729,138084352,1.47666,0.225974,0.202714,0.023851
bess_96,1,roml_core_bulk,canonical,ok,7,0.064481,0.063931,0.068901,0.061931,0.069521,0.00255,0.00022,0.064701,2981888,,0.03345,0.02056,0.00585
bess_96,1,roml_core_rust,canonical,ok,7,0.265255,0.263095,0.267175,0.263015,0.268925,0.00192,0.00021,0.265465,3395584,1,0.036301,0.188233,0.034911
bess_96,1,roml_core_rust_anon,canonical,ok,7,0.237104,0.235935,0.240754,0.223894,0.246804,0.001169,0.0002,0.237304,3260416,3.67711,0.021641,0.174353,0.03572
bess_96,1,roml_python_bulk,canonical,ok,7,0.308865,0.304225,0.321265,0.303755,0.329386,0.00464,0.00081,0.309675,137637888,1,0.076671,0.091412,0.142683
bess_96,1,roml_python_csr,canonical,ok,7,0.200763,0.195683,0.208004,0.191993,0.208124,0.00508,0.00095,0.201713,137535488,0.650002,0.124372,0.059041,0.01473
bess_96,1,roml_python_naive_chain,canonical,ok,7,0.773164,0.767044,0.787934,0.757974,0.795754,0.00612,0.00076,0.773924,137785344,11.9906,0.096962,0.463508,0.212814
bess_96,3,pulp_python,canonical,ok,7,4.40576,4.38911,4.44574,4.38811,5.31356,0.016651,0.0019,4.40766,137584640,6.64196,0.867846,2.88589,0.636982
bess_96,3,pyomo_python,canonical,ok,7,2.92175,2.84543,3.06648,2.84313,3.54602,0.078621,0.01938,2.94113,137322496,4.40473,0.502459,2.1349,0.300835
bess_96,3,pyoptinterface_python,canonical,ok,7,2.19873,2.19099,2.22092,2.17563,2.26958,0.00774,0.031231,2.22996,138727424,3.31472,0.834305,1.28915,0.075511
bess_96,3,pyoptinterface_scalar,canonical,ok,7,1.26109,1.25359,1.27889,1.24161,1.29753,0.01474,0.02653,1.28762,138399744,1.90118,0.633331,0.58273,0.049031
bess_96,3,roml_core_bulk,canonical,ok,7,0.161742,0.156872,0.173613,0.156233,0.230635,0.00487,0.00021,0.161952,3383296,,0.066901,0.076921,0.0116
bess_96,3,roml_core_rust,canonical,ok,7,0.733963,0.720642,0.753873,0.719863,0.763294,0.013321,0.00021,0.734173,4046848,1,0.080581,0.504479,0.144903
bess_96,3,roml_core_rust_anon,canonical,ok,7,0.687612,0.678942,0.729853,0.670402,1.0293,0.01308,0.00021,0.687822,4034560,4.25129,0.049321,0.479809,0.145903
bess_96,3,roml_python_bulk,canonical,ok,7,0.663322,0.644041,0.691162,0.639761,0.695902,0.019281,0.00076,0.664082,138293248,1,0.176213,0.204604,0.280885
bess_96,3,roml_python_csr,canonical,ok,7,0.409817,0.402007,0.417538,0.397207,0.433888,0.007721,0.00093,0.410747,138035200,0.617825,0.226674,0.156063,0.0279
bess_96,3,roml_python_naive_chain,canonical,ok,7,2.47807,2.47198,2.51423,2.45726,2.5636,0.02081,0.00076,2.47883,138924032,15.3212,0.276915,1.27787,0.934557
bess_96,10,pulp_python,canonical,ok,7,15.293,15.1522,15.5283,15.1188,15.6977,0.140822,0.0017,15.2947,139735040,8.22592,2.73953,10.4445,2.08449
bess_96,10,pyomo_python,canonical,ok,7,6.46847,6.32336,6.55163,6.19925,7.04518,0.083151,0.01905,6.48752,138928128,3.47932,1.97215,3.17628,1.32665
bess_96,10,pyoptinterface_python,canonical,ok,7,6.89532,6.88139,6.93518,6.79392,6.97431,0.01393,0.03342,6.92874,139644928,3.70891,2.79989,3.90345,0.205144
bess_96,10,pyoptinterface_scalar,canonical,ok,7,4.0702,4.06176,4.12685,4.04632,4.12869,0.02388,0.026351,4.09655,139370496,2.18931,2.03916,1.91181,0.123342
bess_96,10,roml_core_bulk,canonical,ok,7,0.52036,0.508669,0.52897,0.475788,0.5427,0.008701,0.00021,0.52057,4632576,,0.235655,0.243374,0.03682
bess_96,10,roml_core_rust,canonical,ok,7,2.52607,2.39778,2.56201,2.37539,3.15184,0.035941,0.00021,2.52628,6803456,1,0.273875,1.69925,0.517719
bess_96,10,roml_core_rust_anon,canonical,ok,7,2.31908,2.28728,2.42204,2.23758,2.54799,0.03491,0.00021,2.31929,6639616,4.45669,0.157553,1.62714,0.53408
bess_96,10,roml_python_bulk,canonical,ok,7,1.85912,1.83512,1.87444,1.8335,1.95087,0.02302,0.00076,1.85988,140042240,1,0.59889,0.512549,0.742713
bess_96,10,roml_python_csr,canonical,ok,7,1.17826,1.14618,1.19648,1.1388,1.21195,0.02951,0.0009,1.17916,139677696,0.633772,0.643901,0.468989,0.059191
bess_96,10,roml_python_naive_chain,canonical,ok,7,11.5417,11.5154,11.6075,11.3874,11.6501,0.026351,0.00075,11.5425,141426688,22.1803,0.868025,4.19595,6.49857
bess_96,30,pulp_python,canonical,ok,7,44.2912,43.8621,45.2555,43.7653,45.5391,0.429098,0.00173,44.2929,146038784,8.60918,9.73126,28.284,6.22223
bess_96,30,pyomo_python,canonical,ok,7,33.1661,33.0612,35.4104,32.6104,35.8201,0.426288,0.020091,33.1862,144404480,6.44671,3.04573,10.0413,20.2024
bess_96,30,pyoptinterface_python,canonical,ok,7,20.3094,20.208,20.4556,20.1275,20.5012,0.102582,0.033411,20.3429,142843904,3.94768,8.29074,11.4086,0.57345
bess_96,30,pyoptinterface_scalar,canonical,ok,7,12.2677,12.1673,12.4885,12.1413,12.5166,0.113192,0.02723,12.2949,142430208,2.38455,6.29869,5.65858,0.335906
bess_96,30,roml_core_bulk,canonical,ok,7,1.50778,1.42519,1.53541,1.42517,1.56105,0.031141,0.00021,1.50799,7852032,,0.628321,0.747734,0.133113
bess_96,30,roml_core_rust,canonical,ok,7,7.43709,7.40142,7.96051,7.1621,7.96254,0.146003,0.00022,7.43731,14090240,1,0.716423,5.48302,1.21567
bess_96,30,roml_core_rust_anon,canonical,ok,7,6.92037,6.69989,7.34257,6.60874,8.58175,0.220484,0.000211,6.92058,13615104,4.58979,0.481539,5.23985,1.19939
bess_96,30,roml_python_bulk,canonical,ok,7,5.14465,5.10168,5.19392,4.99061,5.76589,0.042971,0.00078,5.14543,145317888,1,1.90982,1.40342,1.84967
bess_96,30,roml_python_csr,canonical,ok,7,3.38661,3.28386,3.40051,3.19182,3.50611,0.071102,0.00094,3.38755,144322560,0.658278,1.8139,1.32029,0.193804
bess_96,30,roml_python_naive_chain,canonical,ok,7,64.1035,62.3236,64.7787,61.9189,65.1999,1.09641,0.00078,64.1042,151498752,42.5152,2.65532,12.4985,48.6961
bess_96,100,pulp_python,canonical,ok,7,169.855,168.312,175.128,167.669,175.595,2.18528,0.00167,169.856,167956480,9.8227,30.4933,118.584,20.8521
bess_96,100,pyomo_python,canonical,ok,7,69.0226,68.2985,76.2324,66.6307,76.5589,2.39188,0.01971,69.0423,161587200,3.99158,8.15292,51.7645,9.19811
bess_96,100,pyoptinterface_python,canonical,ok,7,67.3157,66.9384,68.0404,66.756,68.898,0.377296,0.03327,67.349,153780224,3.89287,27.2585,38.1493,1.97552
bess_96,100,pyoptinterface_scalar,canonical,ok,7,40.5758,40.5156,41.0381,40.2228,42.0199,0.236024,0.02685,40.6026,150786048,2.3465,20.376,19.1557,1.11116
bess_96,100,roml_core_bulk,canonical,ok,7,5.19784,5.1626,5.31038,5.13546,5.81769,0.06238,0.00021,5.19805,19570688,,2.09449,2.56817,0.499999
bess_96,100,roml_core_rust,canonical,ok,7,27.3422,26.1318,27.3637,25.9315,28.2453,0.349437,0.00021,27.3424,41316352,1,2.40746,20.0948,4.6276
bess_96,100,roml_core_rust_anon,canonical,ok,7,25.4891,24.9087,27.2376,24.4463,27.5085,0.58038,0.00021,25.4893,39755776,4.90378,1.47037,18.9758,4.43936
bess_96,100,roml_python_bulk,canonical,ok,7,17.292,17.1864,17.401,17.095,17.7263,0.105672,0.00078,17.2928,168087552,1,5.80678,5.48288,6.0563
