workload,size,implementation,variant,status,replicates,median_ms,p25_ms,p75_ms,min_ms,max_ms,mad_ms,container_init_median_ms,user_build_total_median_ms,peak_rss_median_bytes,speedup_vs_baseline,phase_variables_ms,phase_constraints_ms,phase_objective_ms
bess_96,1,pulp_python,canonical,ok,7,1.59935,1.57739,1.63923,1.51895,1.64035,0.03148,0.00182,1.60117,136884224,7.1728,0.285095,1.08592,0.224884
bess_96,1,pyomo_python,canonical,ok,7,1.06671,1.04372,1.10272,1.0332,2.12261,0.022991,0.02013,1.08684,136908800,4.78401,0.420937,0.504099,0.124173
bess_96,1,pyoptinterface_python,canonical,ok,7,0.906206,0.901316,0.925477,0.886416,0.958077,0.00489,0.03396,0.940166,138514432,4.06418,0.322636,0.54577,0.03367
bess_96,1,pyoptinterface_scalar,canonical,ok,7,0.496349,0.477609,0.511049,0.473259,0.511919,0.0147,0.027971,0.52432,138137600,2.22604,0.250994,0.210754,0.02587
bess_96,1,roml_core_bulk,canonical,ok,7,0.060801,0.059321,0.062591,0.058811,0.063371,0.00148,0.00018,0.060981,2973696,,0.03041,0.01987,0.00546
bess_96,1,roml_core_rust,canonical,ok,7,0.254585,0.253884,0.257305,0.252344,0.374537,0.000869,0.00019,0.254775,3379200,1,0.033771,0.181293,0.03404
bess_96,1,roml_core_rust_anon,canonical,ok,7,0.231244,0.229154,0.239734,0.227774,0.245025,0.00347,0.00019,0.231434,3252224,3.80329,0.021201,0.170143,0.035411
bess_96,1,roml_python_bulk,canonical,ok,7,0.222974,0.220144,0.232144,0.219034,0.240824,0.00394,0.00077,0.223744,137367552,1,0.03873,0.099212,0.085641
bess_96,1,roml_python_csr,canonical,ok,7,0.172713,0.167593,0.178023,0.166053,0.179603,0.00512,0.00093,0.173643,137367552,0.774588,0.091871,0.064671,0.01542
bess_96,1,roml_python_naive_chain,canonical,ok,7,0.641142,0.633161,0.655112,0.618031,0.663872,0.007981,0.00072,0.641862,137379840,10.5449,0.104032,0.368686,0.161583
bess_96,3,pulp_python,canonical,ok,7,4.52274,4.49975,4.55567,4.47153,5.60674,0.022991,0.00193,4.52467,137506816,11.4882,0.900726,2.95566,0.648291
bess_96,3,pyomo_python,canonical,ok,7,2.9904,2.97323,3.09325,2.97106,3.65375,0.01934,0.020201,3.0106,137449472,7.59589,0.509119,2.1604,0.317196
bess_96,3,pyoptinterface_python,canonical,ok,7,2.27152,2.26341,2.28975,2.2487,2.29059,0.008109,0.033831,2.30535,138772480,5.76986,0.862556,1.32754,0.077911
bess_96,3,pyoptinterface_scalar,canonical,ok,7,1.32089,1.28953,1.33556,1.28858,1.33887,0.017979,0.02746,1.34835,138424320,3.35519,0.655112,0.59612,0.051151
bess_96,3,roml_core_bulk,canonical,ok,7,0.154693,0.151793,0.161192,0.149273,0.163423,0.00542,0.00018,0.154873,3407872,,0.065031,0.073351,0.011461
bess_96,3,roml_core_rust,canonical,ok,7,0.723673,0.716763,0.727042,0.714293,0.731173,0.003369,0.00019,0.723863,4034560,1,0.074591,0.490289,0.147792
bess_96,3,roml_core_rust_anon,canonical,ok,7,0.668512,0.657421,0.676372,0.651732,0.681242,0.00786,0.00019,0.668702,4018176,4.32154,0.046181,0.470628,0.145203
bess_96,3,roml_python_bulk,canonical,ok,7,0.393687,0.382126,0.395046,0.381496,0.407828,0.008911,0.00077,0.394457,137887744,1,0.076541,0.211423,0.101681
bess_96,3,roml_python_csr,canonical,ok,7,0.350306,0.332876,0.360546,0.332066,0.378517,0.01024,0.00092,0.351226,137904128,0.889808,0.147463,0.161743,0.02986
bess_96,3,roml_python_naive_chain,canonical,ok,7,1.726,1.70729,1.78271,1.69893,1.89234,0.018711,0.00076,1.72676,138227712,11.1576,0.283215,1.025,0.414367
bess_96,10,pulp_python,canonical,ok,7,15.8063,15.5687,16.0799,15.4588,16.3766,0.237534,0.00202,15.8083,139816960,16.4637,2.8555,10.6928,2.13392
bess_96,10,pyomo_python,canonical,ok,7,6.7257,6.61847,6.85103,6.38472,7.13838,0.107231,0.019841,6.74554,139100160,7.00544,2.08263,3.26675,1.37491
bess_96,10,pyoptinterface_python,canonical,ok,7,7.02902,6.99531,7.06834,6.99287,7.25283,0.033701,0.03231,7.06133,139587584,7.32137,2.82609,4.00308,0.207393
bess_96,10,pyoptinterface_scalar,canonical,ok,7,4.23074,4.17939,4.26053,4.16788,4.26344,0.029781,0.02697,4.25772,139333632,4.40671,2.11936,1.94729,0.133712
bess_96,10,roml_core_bulk,canonical,ok,7,0.509029,0.499129,0.522789,0.498149,0.52481,0.0099,0.0002,0.509229,4624384,,0.225054,0.239324,0.035961
bess_96,10,roml_core_rust,canonical,ok,7,2.48352,2.47882,2.57105,2.47038,2.57774,0.01314,0.00019,2.48371,6815744,1,0.260384,1.69843,0.5306
bess_96,10,roml_core_rust_anon,canonical,ok,7,2.31707,2.30609,2.47426,2.297,2.51007,0.014521,0.00018,2.31725,6725632,4.55194,0.153283,1.64172,0.52275
bess_96,10,roml_python_bulk,canonical,ok,7,0.960068,0.946656,1.00719,0.935597,1.02484,0.024449,0.00075,0.960818,138895360,1,0.228574,0.605861,0.136142
bess_96,10,roml_python_csr,canonical,ok,7,0.911107,0.902696,0.918467,0.885796,0.936237,0.00736,0.00093,0.912037,139816960,0.949003,0.327865,0.506089,0.075931
bess_96,10,roml_python_naive_chain,canonical,ok,7,5.4266,5.36824,5.48246,5.35995,5.51161,0.05586,0.00076,5.42736,140697600,10.6607,0.922416,3.22306,1.2507
bess_96,30,pulp_python,canonical,ok,7,44.7107,44.5792,45.3251,44.5304,46.8736,0.180323,0.00189,44.7126,146034688,17.6398,9.68989,28.7471,6.3449
bess_96,30,pyomo_python,canonical,ok,7,34.9695,33.9855,41.7311,33.5552,44.7785,1.41428,0.01964,34.9892,144293888,13.7966,3.42713,10.2725,21.4327
bess_96,30,pyoptinterface_python,canonical,ok,7,20.6987,20.6065,20.7869,20.4765,21.2162,0.088201,0.03467,20.7334,142819328,8.16632,8.50046,11.604,0.58485
bess_96,30,pyoptinterface_scalar,canonical,ok,7,12.6108,12.5879,12.6341,12.4967,12.663,0.02288,0.027351,12.6381,142393344,4.97535,6.4107,5.8483,0.341036
bess_96,30,roml_core_bulk,canonical,ok,7,1.4082,1.40423,1.4345,1.40146,1.44251,0.003961,0.00019,1.40839,7835648,,0.57491,0.699003,0.132623
bess_96,30,roml_core_rust,canonical,ok,7,7.2594,7.21997,7.78364,7.21483,7.87894,0.03943,0.00019,7.25959,14082048,1,0.687393,5.3916,1.18913
bess_96,30,roml_core_rust_anon,canonical,ok,7,6.8168,6.7352,7.17587,6.72069,7.21406,0.081601,0.00019,6.81699,13635584,4.8408,0.429028,5.22136,1.16421
bess_96,30,roml_python_bulk,canonical,ok,7,2.53464,2.41003,2.83033,2.39928,2.8803,0.135362,0.00076,2.5354,142950400,1,0.799454,1.46364,0.271555
bess_96,30,roml_python_csr,canonical,ok,7,2.60414,2.58165,2.63298,2.50195,2.63805,0.02249,0.00097,2.60511,143384576,1.02742,0.934427,1.46944,0.191514
bess_96,30,roml_python_naive_chain,canonical,ok,7,16.0309,15.9892,16.2184,15.8771,16.4063,0.057541,0.00077,16.0317,148590592,11.384,2.80081,9.41252,3.84797
bess_96,100,pulp_python,canonical,ok,7,173.285,171.515,178.974,170.705,186.539,2.58048,0.00192,173.287,168247296,21.423,30.7669,121.349,21.312
bess_96,100,pyomo_python,canonical,ok,7,71.1548,70.2717,72.6885,69.7344,76.4523,0.883075,0.02055,71.1754,161452032,8.79677,8.30866,53.3847,9.29264
bess_96,100,pyoptinterface_python,canonical,ok,7,68.9701,68.8467,69.0932,68.4215,70.0057,0.123153,0.033841,69.0039,153755648,8.52667,27.7006,39.1671,2.03682
bess_96,100,pyoptinterface_scalar,canonical,ok,7,41.9253,41.4895,42.1545,41.4708,42.6173,0.229204,0.02765,41.953,150630400,5.18317,21.2602,19.5287,1.16696
bess_96,100,roml_core_bulk,canonical,ok,7,4.97965,4.90988,5.13282,4.84729,5.29169,0.069771,0.0002,4.97985,19570688,,1.91694,2.54455,0.493199
bess_96,100,roml_core_rust,canonical,ok,7,27.0732,26.0619,29.7608,25.9039,29.8077,1.16934,0.0002,27.0734,41295872,1,2.24436,19.7026,5.13262
