workload,size,implementation,variant,status,replicates,median_ms,p25_ms,p75_ms,min_ms,max_ms,mad_ms,container_init_median_ms,user_build_total_median_ms,peak_rss_median_bytes,speedup_vs_baseline,phase_variables_ms,phase_constraints_ms,phase_objective_ms
bess_96,1,pulp_python,canonical,ok,7,1.64219,1.62862,1.65678,1.62508,1.65817,0.01357,0.002,1.64419,136822784,7.2148,0.292375,1.1164,0.232694
bess_96,1,pyomo_python,canonical,ok,7,1.18805,1.14954,2.10048,1.12635,3.01705,0.061702,0.020601,1.20865,136728576,5.21959,0.470538,0.54641,0.134352
bess_96,1,pyoptinterface_python,canonical,ok,7,0.944856,0.932696,1.06507,0.932257,1.47796,0.012599,0.03296,0.977816,138506240,4.15113,0.327776,0.58245,0.03614
bess_96,1,pyoptinterface_scalar,canonical,ok,7,0.483729,0.480658,0.496479,0.475128,0.52181,0.003149,0.028601,0.51233,138125312,2.12522,0.243875,0.213604,0.026
bess_96,1,roml_core_bulk,canonical,ok,7,0.069321,0.068071,0.071051,0.065791,0.072601,0.00162,0.00021,0.069531,3010560,,0.03704,0.020771,0.00593
bess_96,1,roml_core_rust,canonical,ok,7,0.284545,0.273625,0.287605,0.271255,0.293456,0.006981,0.00021,0.284755,3383296,1,0.041081,0.200404,0.035281
bess_96,1,roml_core_rust_anon,canonical,ok,7,0.251665,0.249604,0.257845,0.248405,0.264844,0.002061,0.00021,0.251875,3244032,3.63043,0.02624,0.183053,0.03644
bess_96,1,roml_python_bulk,canonical,ok,7,0.227614,0.227274,0.241854,0.226384,0.254235,0.00123,0.00078,0.228394,137273344,1,0.040021,0.102732,0.087682
bess_96,1,roml_python_csr,canonical,ok,7,0.187023,0.172713,0.215334,0.171933,0.220574,0.01431,0.00097,0.187993,137465856,0.821667,0.100802,0.067141,0.015361
bess_96,1,roml_python_naive_chain,canonical,ok,7,0.671362,0.658262,0.673812,0.653752,0.692082,0.00829,0.00074,0.672102,137285632,9.68483,0.108002,0.383217,0.177914
bess_96,3,pulp_python,canonical,ok,7,4.59413,4.55677,4.65526,4.55199,6.52103,0.042141,0.00203,4.59616,137580544,11.286,0.918506,3.00761,0.661782
bess_96,3,pyomo_python,canonical,ok,7,3.84459,3.80487,3.89381,3.70387,4.04233,0.039721,0.02,3.86459,137367552,9.44463,0.595971,2.9202,0.326436
bess_96,3,pyoptinterface_python,canonical,ok,7,2.37293,2.33047,2.49738,2.32344,3.59848,0.042461,0.036921,2.40985,138694656,5.82935,0.898135,1.39241,0.081991
bess_96,3,pyoptinterface_scalar,canonical,ok,7,1.34901,1.31486,1.35337,1.31217,1.36577,0.0131,0.02833,1.37734,138334208,3.31399,0.676132,0.608331,0.054471
bess_96,3,roml_core_bulk,canonical,ok,7,0.174513,0.161993,0.180803,0.158712,0.185863,0.00827,0.00021,0.174723,3399680,,0.074761,0.080481,0.01211
