workload,size,implementation,variant,status,replicates,median_ms,p25_ms,p75_ms,min_ms,max_ms,mad_ms,container_init_median_ms,user_build_total_median_ms,peak_rss_median_bytes,speedup_vs_baseline,phase_variables_ms,phase_constraints_ms,phase_objective_ms
bess_96,1,jump_julia,canonical,ok,7,0.149442,0.144273,0.153353,0.144262,0.155352,0.004679,0.01587,0.165312,576671744,,0.032151,0.085102,0.03172
bess_96,1,ortools_mathopt_cpp,canonical,ok,7,0.091332,0.089802,0.094262,0.089802,0.094592,0.00153,0.018111,0.109443,17944576,,0.01002,0.065491,0.016161
bess_96,1,pulp_python,canonical,ok,7,1.55457,1.4677,1.57557,1.45722,1.58441,0.021,0.00177,1.55634,136806400,7.14369,0.276375,1.05981,0.220104
bess_96,1,pyomo_python,canonical,ok,7,1.01902,0.985847,1.19566,0.978997,2.00999,0.037041,0.019461,1.03848,136826880,4.68269,0.393397,0.495889,0.122992
bess_96,1,pyoptinterface_python,canonical,ok,7,0.880836,0.868125,0.906336,0.863495,0.913827,0.012711,0.033291,0.914127,138403840,4.0477,0.312546,0.538389,0.032581
bess_96,1,pyoptinterface_scalar,canonical,ok,7,0.455198,0.450568,0.470888,0.448018,0.473728,0.00616,0.02708,0.482278,138125312,2.09177,0.229754,0.202494,0.023871
bess_96,1,roml_core_bulk,canonical,ok,7,0.068482,0.068181,0.069622,0.060241,0.070491,0.000301,0.00019,0.068672,3010560,,0.03745,0.01979,0.005801
bess_96,1,roml_core_rust,canonical,ok,7,0.278095,0.255444,0.282715,0.249755,0.295555,0.00462,0.0002,0.278295,3403776,1,0.04098,0.196724,0.03432
bess_96,1,roml_core_rust_anon,canonical,ok,7,0.246985,0.233214,0.248315,0.232764,0.252024,0.004481,0.00021,0.247195,3260416,3.60657,0.0247,0.179463,0.034581
bess_96,1,roml_python_bulk,canonical,ok,7,0.217614,0.213734,0.223604,0.213234,0.230134,0.00393,0.00073,0.218344,137342976,1,0.037161,0.098062,0.083401
bess_96,1,roml_python_csr,canonical,ok,7,0.174103,0.166233,0.181353,0.163873,0.188383,0.00725,0.00089,0.174993,137408512,0.800054,0.092682,0.063561,0.015421
bess_96,1,roml_python_naive_chain,canonical,ok,7,0.620391,0.603491,0.624691,0.59595,0.629942,0.009551,0.00072,0.621111,137510912,9.05918,0.100712,0.354396,0.157633
bess_96,3,jump_julia,canonical,ok,7,0.377757,0.373496,0.390087,0.372557,0.395177,0.0052,0.015921,0.393678,576180224,,0.084272,0.214224,0.079261
bess_96,3,ortools_mathopt_cpp,canonical,ok,7,0.236444,0.233074,0.349917,0.231884,0.410758,0.00337,0.018941,0.255385,18178048,,0.02555,0.166323,0.042591
bess_96,3,pulp_python,canonical,ok,7,4.43728,4.39789,5.31056,4.37072,5.3898,0.06656,0.00178,4.43906,137469952,11.7024,0.857125,2.90886,0.633251
bess_96,3,pyomo_python,canonical,ok,7,2.87177,2.84185,3.23492,2.80753,3.57673,0.064241,0.019061,2.89083,137392128,7.5737,0.490899,2.0854,0.295475
bess_96,3,pyoptinterface_python,canonical,ok,7,2.20533,2.18257,2.24513,2.17035,2.25224,0.0302,0.031391,2.23672,138625024,5.81609,0.840295,1.3016,0.074902
