workload,size,implementation,variant,status,replicates,median_ms,p25_ms,p75_ms,min_ms,max_ms,mad_ms,container_init_median_ms,user_build_total_median_ms,peak_rss_median_bytes,speedup_vs_baseline,phase_variables_ms,phase_constraints_ms,phase_objective_ms
bess_96,1,jump_julia,canonical,ok,7,0.133412,0.128242,0.134512,0.127703,0.134592,0.00118,0.00308,0.136492,568713216,,0.02939,0.072321,0.03148
bess_96,1,ortools_mathopt_cpp,canonical,ok,7,0.117503,0.111702,0.118522,0.110172,0.154513,0.001051,0.00015,0.117653,17383424,,0.022531,0.076241,0.01768
bess_96,1,pulp_python,canonical,ok,7,1.67026,1.5539,1.67456,1.54381,1.82663,0.100542,0.00194,1.6722,132034560,6.86971,0.299626,1.13789,0.231584
bess_96,1,pyomo_python,canonical,ok,7,1.17704,1.11408,1.23548,1.10857,3.81872,0.058441,0.02155,1.19859,131936256,4.84112,0.481739,0.547229,0.134183
bess_96,1,pyoptinterface_python,canonical,ok,7,1.00724,0.980558,1.04584,0.967347,1.32119,0.02668,0.037251,1.04449,133623808,4.14273,0.340956,0.625861,0.041621
bess_96,1,pyoptinterface_scalar,canonical,ok,7,0.515769,0.502949,0.52177,0.491958,0.53041,0.01256,0.02938,0.545149,133210112,2.12134,0.260904,0.217994,0.033301
bess_96,1,roml_core_bulk,canonical,ok,7,0.072121,0.068221,0.073942,0.067571,0.101422,0.001821,0.0002,0.072321,3022848,,0.039171,0.021091,0.00632
bess_96,1,roml_core_rust,canonical,ok,7,0.285795,0.284625,0.290945,0.283755,0.291886,0.00117,0.00021,0.286005,3411968,1,0.041371,0.201463,0.037151
bess_96,1,roml_core_rust_anon,canonical,ok,7,0.253704,0.241494,0.289935,0.240524,0.384017,0.01221,0.0002,0.253904,3289088,3.51775,0.02555,0.183674,0.03759
bess_96,1,roml_python_bulk,canonical,ok,7,0.243134,0.234494,0.253375,0.231455,0.317316,0.00864,0.00086,0.243994,132616192,1,0.042211,0.107392,0.095692
bess_96,1,roml_python_csr,canonical,ok,7,0.190403,0.185223,0.196303,0.184793,0.198213,0.00518,0.00108,0.191483,132628480,0.78312,0.102571,0.070761,0.01751
bess_96,1,roml_python_naive_chain,canonical,ok,7,0.691993,0.683103,0.706593,0.682202,0.756553,0.00889,0.00081,0.692803,132796416,9.59489,0.113022,0.391237,0.185194
bess_96,3,jump_julia,canonical,ok,7,0.368297,0.365197,0.379637,0.362946,0.380027,0.005351,0.00299,0.371287,568827904,,0.084842,0.204594,0.080932
bess_96,3,ortools_mathopt_cpp,canonical,ok,7,0.290405,0.285975,0.299455,0.282055,0.414387,0.006671,0.00015,0.290555,17649664,,0.057661,0.189413,0.043711
bess_96,3,pulp_python,canonical,ok,7,4.70069,4.6132,6.66094,4.57067,6.931,0.130012,0.0021,4.70279,132452352,11.1431,0.924517,3.07747,0.660042
bess_96,3,pyomo_python,canonical,ok,7,4.11504,3.95137,4.32135,3.7157,5.17937,0.163673,0.02066,4.1357,132702208,9.7548,0.614631,3.15413,0.336066
bess_96,3,pyoptinterface_python,canonical,ok,7,2.41602,2.40407,2.47899,2.34251,3.5853,0.048242,0.03839,2.45441,133861376,5.72724,0.899186,1.42939,0.088932
bess_96,3,pyoptinterface_scalar,canonical,ok,7,1.34855,1.33396,1.37572,1.33278,1.38487,0.014591,0.02844,1.37699,133496832,3.19678,0.672832,0.621332,0.055981
bess_96,3,roml_core_bulk,canonical,ok,7,0.167953,0.164923,0.179033,0.161762,0.180023,0.0042,0.0002,0.168153,3436544,,0.071971,0.077392,0.01186
bess_96,3,roml_core_rust,canonical,ok,7,0.771674,0.760954,0.789945,0.747154,0.803185,0.01072,0.00021,0.771884,4132864,1,0.087502,0.526549,0.149603
bess_96,3,roml_core_rust_anon,canonical,ok,7,0.694762,0.683773,0.712673,0.678622,0.762314,0.010989,0.0002,0.694962,4022272,4.13665,0.057491,0.484559,0.145813
bess_96,3,roml_python_bulk,canonical,ok,7,0.421848,0.411258,0.425018,0.408767,0.449048,0.01004,0.0008,0.422648,133070848,1,0.080842,0.224984,0.112612
bess_96,3,roml_python_csr,canonical,ok,7,0.373997,0.349476,0.388447,0.342247,0.397027,0.01445,0.00102,0.375017,133275648,0.886568,0.157353,0.176193,0.031141
bess_96,3,roml_python_naive_chain,canonical,ok,7,1.82528,1.81263,1.83082,1.78965,1.8642,0.009731,0.00082,1.8261,133623808,10.8678,0.303295,1.09747,0.422897
bess_96,10,jump_julia,canonical,ok,7,1.24386,1.22784,1.51748,1.22621,2.20805,0.017651,0.00318,1.24704,568655872,,0.281295,0.720993,0.245064
bess_96,10,ortools_mathopt_cpp,canonical,ok,7,1.03872,0.981018,1.05842,0.971427,1.69592,0.037889,0.00014,1.03886,18735104,,0.221334,0.663382,0.136492
bess_96,10,pulp_python,canonical,ok,7,17.1957,16.9119,17.3051,16.6841,17.3569,0.135843,0.00202,17.1977,134983680,17.1209,4.84803,9.96942,2.17087
bess_96,10,pyomo_python,canonical,ok,7,7.73052,7.62945,7.77428,7.6106,12.4986,0.05527,0.02127,7.75179,134299648,7.6969,2.81596,3.41892,1.49914
bess_96,10,pyoptinterface_python,canonical,ok,7,7.40428,7.14136,7.5497,7.13703,7.88724,0.145412,0.036311,7.4406,134627328,7.37208,2.93303,4.24122,0.228544
bess_96,10,pyoptinterface_scalar,canonical,ok,7,4.28045,4.26774,4.31946,4.23101,4.39726,0.03132,0.031261,4.31171,134381568,4.26183,2.14399,1.99276,0.142573
bess_96,10,roml_core_bulk,canonical,ok,7,0.56439,0.53844,0.786304,0.526279,0.912476,0.038111,0.00021,0.5646,4640768,,0.265395,0.252594,0.039681
bess_96,10,roml_core_rust,canonical,ok,7,2.63399,2.59952,2.73089,2.53896,3.9028,0.03447,0.0002,2.63419,6832128,1,0.295386,1.78957,0.55866
bess_96,10,roml_core_rust_anon,canonical,ok,7,2.4091,2.35228,2.47027,2.34613,2.55103,0.056821,0.00021,2.40931,6672384,4.26851,0.176933,1.64741,0.56586
bess_96,10,roml_python_bulk,canonical,ok,7,1.00437,0.976318,1.01398,0.976287,1.01923,0.014861,0.0008,1.00517,134238208,1,0.226844,0.620452,0.143482
bess_96,10,roml_python_csr,canonical,ok,7,0.992228,0.969677,1.0133,0.956557,1.43163,0.021071,0.00099,0.993218,134926336,0.987913,0.359266,0.55094,0.081231
bess_96,10,roml_python_naive_chain,canonical,ok,7,5.72023,5.54512,5.8085,5.5314,8.30325,0.088271,0.000901,5.72113,136077312,10.1352,1.02075,3.37219,1.31273
bess_96,30,jump_julia,canonical,ok,7,3.82735,3.75051,3.93858,3.73715,5.66639,0.076841,0.003161,3.83051,568700928,,0.807174,2.19605,0.794294
bess_96,30,ortools_mathopt_cpp,canonical,ok,7,3.07009,3.03221,3.15757,3.02801,3.37546,0.042081,0.00014,3.07023,22155264,,0.767373,1.97923,0.330746
bess_96,30,pulp_python,canonical,ok,7,47.8934,47.3353,69.9997,46.9536,70.3347,0.690203,0.00207,47.8955,141348864,16.8631,10.9509,30.2342,6.6644
bess_96,30,pyomo_python,canonical,ok,7,55.2425,49.4166,56.599,46.85,56.6837,1.35647,0.02205,55.2646,139612160,19.4506,4.24663,10.7864,40.1163
bess_96,30,pyoptinterface_python,canonical,ok,7,21.8649,21.8357,21.9526,21.5565,34.1195,0.029201,0.036591,21.9014,137936896,7.69851,8.79026,12.4593,0.627311
bess_96,30,pyoptinterface_scalar,canonical,ok,7,13.0895,13.0147,13.4467,12.9729,14.2417,0.116622,0.02912,13.1186,137240576,4.60876,6.74952,6.04953,0.373907
bess_96,30,roml_core_bulk,canonical,ok,7,1.50753,1.47619,1.56012,1.46567,2.5188,0.04186,0.00021,1.50774,7835648,,0.617921,0.766454,0.136623
bess_96,30,roml_core_rust,canonical,ok,7,8.05898,7.70389,11.4401,7.68824,12.8754,0.370746,0.00021,8.05919,14102528,1,0.744523,5.70958,1.5991
bess_96,30,roml_core_rust_anon,canonical,ok,7,7.4557,7.40303,7.77203,7.21885,7.93811,0.236853,0.0002,7.4559,13635584,4.94565,0.459618,5.53112,1.66646
bess_96,30,roml_python_bulk,canonical,ok,7,2.84014,2.66311,3.52885,2.6428,4.07017,0.177033,0.00092,2.84106,138612736,1,0.899436,1.64864,0.329036
bess_96,30,roml_python_csr,canonical,ok,7,2.67175,2.60983,2.71173,2.6003,2.76677,0.039981,0.00119,2.67294,139018240,0.94071,0.903436,1.56552,0.193513
bess_96,30,roml_python_naive_chain,canonical,ok,7,16.6947,16.6025,16.8092,16.5089,17.0017,0.092272,0.00081,16.6955,143974400,11.0743,2.95076,9.78035,3.99402
bess_96,100,jump_julia,canonical,ok,7,13.9674,13.8057,14.5911,13.5776,14.6772,0.350516,0.003271,13.9706,575574016,,2.99585,7.53053,3.59392
bess_96,100,ortools_mathopt_cpp,canonical,ok,7,11.9808,11.8522,14.1443,11.2567,15.4712,0.724064,0.00015,11.9809,36593664,,2.94313,7.89799,1.20257
bess_96,100,pulp_python,canonical,ok,7,197.326,188.757,200.075,186.73,266.785,5.24581,0.00227,197.328,163151872,21.5732,32.4125,142.744,21.8347
bess_96,100,pyomo_python,canonical,ok,7,94.1532,90.4818,109.9,81.4058,120.617,3.67144,0.022211,94.1755,156631040,10.2936,9.59662,74.4452,10.2955
bess_96,100,pyoptinterface_python,canonical,ok,7,75.0223,74.2728,75.6914,73.7411,114.39,0.669052,0.036851,75.0592,148926464,8.20204,30.0718,42.3622,2.21785
bess_96,100,pyoptinterface_scalar,canonical,ok,7,43.6079,43.181,45.7212,42.4809,46.9057,1.09129,0.0292,43.6371,145731584,4.76757,22.0934,19.9796,1.24233
bess_96,100,roml_core_bulk,canonical,ok,7,5.2568,5.1872,5.89262,5.17658,6.26799,0.080212,0.00019,5.25699,19595264,,2.01176,2.7512,0.54939
bess_96,100,roml_core_rust,canonical,ok,7,34.3175,32.7069,35.2622,32.4609,35.3575,1.04006,0.00021,34.3177,41361408,1,2.37145,23.0805,8.79767
bess_96,100,roml_core_rust_anon,canonical,ok,7,31.7171,30.971,32.9849,30.5294,33.3527,1.18774,0.0002,31.7173,39813120,6.03354,1.43811,21.6891,8.65297
bess_96,100,roml_python_bulk,canonical,ok,7,9.14678,8.98267,9.18836,8.98239,14.2838,0.157493,0.00105,9.14783,152756224,1,1.75527,6.54911,0.813205
bess_96,100,roml_python_csr,canonical,ok,7,8.28251,8.21012,8.60495,8.12839,9.21711,0.111062,0.00118,8.28369,154898432,0.90551,1.98646,5.53341,0.859715
bess_96,100,roml_python_naive_chain,canonical,ok,7,60.413,58.4907,61.7594,56.9646,61.9011,1.34643,0.00103,60.414,173379584,11.4924,10.337,35.2748,14.458
bess_96,300,jump_julia,canonical,ok,7,167.429,159.824,179.551,157.092,208.921,7.60427,0.00337,167.432,632451072,,11.4491,144.108,11.9632
bess_96,300,ortools_mathopt_cpp,canonical,ok,7,50.0227,42.1906,53.2422,39.7526,65.0413,3.21955,0.00015,50.0228,64946176,,12.2786,31.8463,5.3287
bess_96,300,pulp_python,canonical,ok,7,513.953,507.055,522.286,505.357,530.838,6.89792,0.00241,513.956,226508800,15.5607,133.635,315.108,65.8485
bess_96,300,pyomo_python,canonical,ok,7,409.804,400.571,423.818,397.023,442.083,12.5358,0.021351,409.825,208576512,12.4074,54.5469,248.855,116.708
bess_96,300,pyoptinterface_python,canonical,ok,7,237.88,235.122,251.63,233.233,370.605,2.75773,0.037391,237.917,177061888,7.20216,104.62,127.653,6.30376
bess_96,300,pyoptinterface_scalar,canonical,ok,7,149.651,145.69,151.669,143.356,172.022,3.3989,0.029341,149.68,174002176,4.53091,84.9428,61.145,3.8961
bess_96,300,roml_core_bulk,canonical,ok,7,19.2508,18.1315,19.979,17.8142,28.0439,0.728193,0.0002,19.251,54788096,,6.32473,10.9048,1.95682
bess_96,300,roml_core_rust,canonical,ok,7,114.327,112.909,118.775,109.227,153.158,4.02061,0.00022,114.327,128372736,1,7.25324,72.4791,35.27
bess_96,300,roml_core_rust_anon,canonical,ok,7,110.889,106.726,114.26,104.478,152.895,3.37035,0.0002,110.89,123940864,5.76025,4.36795,72.9004,35.2313
bess_96,300,roml_python_bulk,canonical,ok,7,33.0289,29.2917,44.0495,28.1744,45.4381,4.85454,0.0011,33.03,194224128,1,5.07664,25.5886,2.49439
bess_96,300,roml_python_csr,canonical,ok,7,27.1745,26.9817,27.3912,26.7438,27.9276,0.192814,0.00159,27.1761,202911744,0.822749,5.54787,18.9159,2.75958
bess_96,300,roml_python_naive_chain,canonical,ok,7,193.387,192.291,201.148,189.786,214.381,1.09604,0.00108,193.388,253009920,10.0457,33.8059,117.529,42.9206
sparse_rows,1000,jump_julia,canonical,ok,7,0.192923,0.188663,0.195774,0.186944,0.198934,0.002851,0.00338,0.196303,567103488,,0.076971,0.056991,0.057551
