workload,size,implementation,variant,status,replicates,median_ms,p25_ms,p75_ms,min_ms,max_ms,mad_ms,container_init_median_ms,user_build_total_median_ms,peak_rss_median_bytes,speedup_vs_baseline,phase_variables_ms,phase_constraints_ms,phase_objective_ms
bess_96,1,jump_julia,canonical,ok,3,0.123752,0.123052,0.124852,0.123052,0.124852,0.0007,0.00286,0.126612,568008704,,0.02765,0.067141,0.028661
bess_96,1,ortools_mathopt_cpp,canonical,ok,3,0.108022,0.107412,0.111222,0.107412,0.111222,0.00061,0.00013,0.108152,17440768,,0.0209,0.070831,0.01602
bess_96,1,pulp_python,canonical,ok,3,1.48969,1.4896,1.49271,1.4896,1.49271,8.9e-05,0.00185,1.49154,133042176,5.64714,0.287355,0.980927,0.219413
bess_96,1,pyomo_python,canonical,ok,3,0.960147,0.942567,2.01844,0.942567,2.01844,0.01758,0.020221,0.980368,132853760,3.63975,0.311035,0.525249,0.121922
bess_96,1,pyoptinterface_python,canonical,ok,3,0.879255,0.878446,0.881426,0.878446,0.881426,0.000809,0.03326,0.912515,134266880,3.3331,0.307465,0.5387,0.033421
bess_96,1,pyoptinterface_scalar,canonical,ok,3,0.472538,0.457289,0.477559,0.457289,0.477559,0.005021,0.027001,0.499539,134266880,1.79131,0.234624,0.209644,0.024721
bess_96,1,roml_core_bulk,canonical,ok,3,0.062501,0.060621,0.067072,0.060621,0.067072,0.00188,0.00019,0.062691,3100672,,0.032031,0.01975,0.00543
bess_96,1,roml_core_rust,canonical,ok,3,0.268185,0.256504,0.277025,0.256504,0.277025,0.00884,0.00019,0.268375,3489792,1,0.039571,0.188843,0.034721
bess_96,1,roml_core_rust_anon,canonical,ok,3,0.228904,0.228574,0.241024,0.228574,0.241024,0.00033,0.00018,0.229084,3350528,3.66241,0.02247,0.167673,0.033741
bess_96,1,roml_python_csr,canonical,ok,3,0.165413,0.164793,0.166313,0.164793,0.166313,0.00062,0.00102,0.166433,133410816,0.627051,0.071201,0.071991,0.021561
bess_96,1,roml_python_naive_chain,canonical,ok,3,0.612241,0.610821,0.614961,0.610821,0.614961,0.00142,0.00076,0.613001,133718016,9.7957,0.099541,0.363646,0.150173
bess_96,1,roml_python_vectorized,canonical,ok,3,0.263795,0.263435,0.277705,0.263435,0.277705,0.00036,0.00085,0.264645,133726208,1,0.021641,0.161042,0.084322
bess_96,10,jump_julia,canonical,ok,3,1.18132,1.1729,1.18669,1.1729,1.18669,0.00537,0.00299,1.18431,567750656,,0.268625,0.680342,0.228815
bess_96,10,ortools_mathopt_cpp,canonical,ok,3,0.936947,0.935427,0.950457,0.935427,0.950457,0.00152,0.00015,0.937097,18735104,,0.200654,0.60574,0.129802
bess_96,10,pulp_python,canonical,ok,3,15.4586,15.3889,15.5257,15.3889,15.5257,0.06705,0.00215,15.4608,135876608,13.394,2.80983,10.535,2.07071
bess_96,10,pyomo_python,canonical,ok,3,6.3411,6.21878,6.36575,6.21878,6.36575,0.02465,0.019851,6.36095,135385088,5.49418,1.86778,3.11304,1.34444
bess_96,10,pyoptinterface_python,canonical,ok,3,6.80236,6.76532,6.86484,6.76532,6.86484,0.03704,0.03149,6.83385,135368704,5.89383,2.70363,3.89153,0.207203
bess_96,10,pyoptinterface_scalar,canonical,ok,3,4.07821,4.05691,4.08126,4.05691,4.08126,0.003049,0.02582,4.10403,135380992,3.53352,2.04434,1.87977,0.132452
bess_96,10,roml_core_bulk,canonical,ok,3,0.51377,0.489819,0.52465,0.489819,0.52465,0.01088,0.0002,0.51397,4730880,,0.243564,0.229385,0.034681
bess_96,10,roml_core_rust,canonical,ok,3,2.40774,2.40377,2.40855,2.40377,2.40855,0.00081,0.00018,2.40792,6877184,1,0.285215,1.62144,0.495999
bess_96,10,roml_core_rust_anon,canonical,ok,3,2.2229,2.19572,2.26502,2.19572,2.26502,0.027181,0.00019,2.22309,6750208,4.32664,0.174794,1.53996,0.504049
bess_96,10,roml_python_csr,canonical,ok,3,0.819205,0.814565,0.829525,0.814565,0.829525,0.00464,0.00099,0.820195,135499776,0.709791,0.154893,0.57602,0.092622
bess_96,10,roml_python_naive_chain,canonical,ok,3,5.30711,5.24565,5.3532,5.24565,5.3532,0.046081,0.00073,5.30784,136790016,10.3297,0.885276,3.23888,1.18296
bess_96,10,roml_python_vectorized,canonical,ok,3,1.15415,1.15281,1.16594,1.15281,1.16594,0.00134,0.00082,1.15497,135397376,1,0.089861,0.933927,0.130872
sparse_rows,1000,jump_julia,canonical,ok,3,0.187993,0.186933,0.188413,0.186933,0.188413,0.00042,0.00307,0.191063,566394880,,0.074731,0.057091,0.055961
sparse_rows,1000,ortools_mathopt_cpp,canonical,ok,3,0.224864,0.220324,0.227304,0.220324,0.227304,0.00244,0.00014,0.225004,17588224,,0.060521,0.110282,0.052761
sparse_rows,1000,pulp_python,canonical,ok,3,1.26963,1.26384,1.27737,1.26384,1.27737,0.00579,0.00181,1.27144,134356992,6.40346,0.705912,0.407967,0.154713
sparse_rows,1000,pyomo_python,canonical,ok,3,1.86829,0.883105,1.88218,0.883105,1.88218,0.013891,0.0202,1.88849,134037504,9.42283,0.323695,1.40046,0.143872
sparse_rows,1000,pyoptinterface_python,canonical,ok,3,1.3827,1.37826,1.40316,1.37826,1.40316,0.00444,0.031401,1.4141,135581696,6.97369,0.938037,0.354386,0.090012
sparse_rows,1000,pyoptinterface_scalar,canonical,ok,3,0.884666,0.880986,0.931197,0.880986,0.931197,0.00368,0.026991,0.911657,135213056,4.46186,0.687052,0.151833,0.046721
sparse_rows,1000,roml_core_bulk,canonical,ok,3,0.132322,0.122112,0.134372,0.122112,0.134372,0.00205,0.0002,0.132522,3354624,,0.080891,0.022831,0.027261
sparse_rows,1000,roml_core_rust,canonical,ok,3,0.601371,0.57022,0.602861,0.57022,0.602861,0.00149,0.00021,0.601581,4063232,1,0.078922,0.301075,0.219524
sparse_rows,1000,roml_core_rust_anon,canonical,ok,3,0.54911,0.54675,0.57186,0.54675,0.57186,0.00236,0.0002,0.54931,3919872,4.1498,0.051471,0.282635,0.215484
sparse_rows,1000,roml_python_naive_chain,canonical,ok,3,0.882226,0.880376,0.882636,0.880376,0.882636,0.00041,0.00072,0.882946,135421952,6.66727,0.319326,0.335286,0.223764
sparse_rows,1000,roml_python_vectorized,canonical,ok,3,0.198273,0.190344,0.204354,0.190344,0.204354,0.006081,0.00086,0.199133,134934528,1,0.031871,0.130022,0.036321
sparse_rows,10000,jump_julia,canonical,ok,3,1.7727,1.74804,1.77865,1.74804,1.77865,0.005949,0.00306,1.77576,566341632,,0.712733,0.522709,0.53726
sparse_rows,10000,ortools_mathopt_cpp,canonical,ok,3,2.00472,1.97374,2.03033,1.97374,2.03033,0.025611,0.00014,2.00486,21045248,,0.55972,1.02523,0.418628
sparse_rows,10000,pulp_python,canonical,ok,3,14.0531,13.9915,14.0885,13.9915,14.0885,0.035471,0.00198,14.055,138596352,12.466,8.61773,3.87257,1.5734
sparse_rows,10000,pyomo_python,canonical,ok,3,7.23637,7.21845,7.28976,7.21845,7.28976,0.01792,0.0197,7.25607,136781824,6.41915,3.29076,2.7065,1.25616
