workload,size,implementation,variant,status,replicates,median_ms,p25_ms,p75_ms,min_ms,max_ms,mad_ms,container_init_median_ms,user_build_total_median_ms,peak_rss_median_bytes,speedup_vs_baseline,phase_variables_ms,phase_constraints_ms,phase_objective_ms
bess_96,1,jump_julia,canonical,ok,7,0.124872,0.124143,0.130512,0.122962,0.134293,0.00191,0.0029,0.127772,567914496,,0.02764,0.067961,0.028441
bess_96,1,ortools_mathopt_cpp,canonical,ok,7,0.108202,0.106952,0.109062,0.105071,0.109332,0.00091,0.00014,0.108342,17440768,,0.02062,0.070751,0.01658
bess_96,1,pulp_python,canonical,ok,7,1.47287,1.46644,1.47694,1.46134,1.48164,0.00548,0.00176,1.47463,132976640,5.5202,0.273435,0.976437,0.221814
bess_96,1,pyomo_python,canonical,ok,7,0.937637,0.929567,0.970697,0.922056,0.982867,0.01183,0.02,0.957637,132849664,3.5142,0.311355,0.510919,0.118632
bess_96,1,pyoptinterface_python,canonical,ok,7,0.877165,0.871945,0.882756,0.869205,0.884285,0.00522,0.033231,0.910396,134361088,3.28755,0.307565,0.53376,0.03312
bess_96,1,pyoptinterface_scalar,canonical,ok,7,0.455798,0.449728,0.459378,0.448658,0.460528,0.00473,0.026711,0.482509,134119424,1.7083,0.227584,0.200254,0.02391
bess_96,1,roml_core_bulk,canonical,ok,7,0.051961,0.051501,0.053871,0.051311,0.058011,0.00065,0.00019,0.052151,3198976,,0.01166,0.029171,0.0061
bess_96,1,roml_core_l1,canonical,ok,7,0.079192,0.077381,0.083121,0.076471,0.084922,0.0021,0.0002,0.079392,3244032,,0.011051,0.047341,0.015121
bess_96,1,roml_core_rust,canonical,ok,7,0.257365,0.254425,0.268194,0.254164,0.268965,0.00294,0.0002,0.257565,3641344,1,0.03601,0.181584,0.033231
bess_96,1,roml_core_rust_anon,canonical,ok,7,0.232415,0.226414,0.243284,0.224994,0.244124,0.007421,0.00019,0.232605,3514368,4.47287,0.02316,0.168433,0.03402
bess_96,1,roml_python_csr,canonical,ok,7,0.165593,0.164272,0.171923,0.162603,0.174563,0.00299,0.00096,0.166553,133644288,0.620631,0.072191,0.071911,0.022821
bess_96,1,roml_python_naive_chain,canonical,ok,7,0.601781,0.59744,0.609001,0.59191,0.633071,0.0056,0.00076,0.602541,133697536,11.5814,0.098811,0.356577,0.147063
