workload,size,implementation,variant,status,replicates,median_ms,p25_ms,p75_ms,min_ms,max_ms,mad_ms,container_init_median_ms,user_build_total_median_ms,peak_rss_median_bytes,speedup_vs_baseline,phase_variables_ms,phase_constraints_ms,phase_objective_ms
bess_96,1,jump_julia,canonical,ok,7,0.123812,0.122162,0.124662,0.121642,0.130532,0.00085,0.00288,0.126692,567939072,,0.027531,0.067501,0.02873
bess_96,1,ortools_mathopt_cpp,canonical,ok,7,0.108101,0.105442,0.109262,0.104692,0.113542,0.001161,0.00015,0.108251,17453056,,0.02078,0.069281,0.01605
bess_96,1,pulp_python,canonical,ok,7,1.47276,1.46886,1.47943,1.45649,1.49556,0.0039,0.00175,1.47451,132980736,5.69348,0.274195,0.978307,0.219904
bess_96,1,pyomo_python,canonical,ok,7,0.952677,0.919466,1.95219,0.919127,1.96345,0.03355,0.02011,0.972787,132935680,3.68293,0.310766,0.518249,0.122002
bess_96,1,pyoptinterface_python,canonical,ok,7,0.872185,0.868695,0.887016,0.865926,0.892596,0.006259,0.032521,0.904706,134402048,3.37175,0.307035,0.534559,0.032881
bess_96,1,pyoptinterface_scalar,canonical,ok,7,0.461458,0.453898,0.468619,0.449548,0.474279,0.007161,0.02677,0.488228,134111232,1.78394,0.229344,0.202433,0.023781
bess_96,1,roml_core_bulk,canonical,ok,7,0.054381,0.052541,0.054961,0.051,0.055761,0.00058,0.0002,0.054581,3211264,,0.012181,0.02962,0.00612
bess_96,1,roml_core_l1,canonical,ok,7,0.080771,0.075301,0.085071,0.075231,0.088302,0.0043,0.00018,0.080951,3235840,,0.01066,0.047391,0.01518
bess_96,1,roml_core_rust,canonical,ok,7,0.251585,0.250125,0.255245,0.249114,0.256874,0.002471,0.00019,0.251775,3633152,1,0.034161,0.179103,0.032781
bess_96,1,roml_core_rust_anon,canonical,ok,7,0.235285,0.231544,0.243004,0.228334,0.245445,0.00583,0.00019,0.235475,3514368,4.3266,0.02389,0.172323,0.033831
bess_96,1,roml_python_csr,canonical,ok,7,0.168413,0.164533,0.177664,0.163263,0.179113,0.00515,0.00089,0.169303,133480448,0.651063,0.071221,0.073881,0.02448
bess_96,1,roml_python_naive_chain,canonical,ok,7,0.60159,0.591671,0.602991,0.590431,0.606101,0.00436,0.00073,0.60232,133775360,11.0625,0.098392,0.353186,0.142382
bess_96,1,roml_python_vectorized,canonical,ok,7,0.258674,0.256635,0.263275,0.255155,0.264005,0.003519,0.00078,0.259454,133746688,1,0.02119,0.154692,0.082191
bess_96,3,jump_julia,canonical,ok,7,0.363557,0.359237,0.368806,0.354817,0.370616,0.00432,0.00302,0.366577,567926784,,0.081192,0.202234,0.079792
bess_96,3,ortools_mathopt_cpp,canonical,ok,7,0.275255,0.273165,0.276335,0.273055,0.278575,0.00135,0.00014,0.275395,17686528,,0.053631,0.179193,0.041941
bess_96,3,pulp_python,canonical,ok,7,4.32013,4.31081,4.35344,4.3042,5.27996,0.01178,0.0017,4.32183,133586944,9.03588,0.782754,2.90563,0.636961
bess_96,3,pyomo_python,canonical,ok,7,2.73709,2.72692,2.74691,2.68109,3.113,0.00982,0.019511,2.7566,133324800,5.72483,0.460669,1.99954,0.266075
bess_96,3,pyoptinterface_python,canonical,ok,7,2.20237,2.18743,2.22044,2.18436,2.22349,0.014941,0.0328,2.23517,134639616,4.60643,0.829235,1.29297,0.075391
bess_96,3,pyoptinterface_scalar,canonical,ok,7,1.25899,1.25024,1.27053,1.25022,1.306,0.008751,0.026931,1.28592,134467584,2.63328,0.637871,0.58354,0.047171
bess_96,3,roml_core_bulk,canonical,ok,7,0.126682,0.117832,0.127853,0.113692,0.128162,0.001171,0.0002,0.126882,3420160,,0.032191,0.076472,0.012361
bess_96,3,roml_core_l1,canonical,ok,7,0.173173,0.166593,0.174043,0.159463,0.191603,0.00087,0.00019,0.173363,3571712,,0.028051,0.112292,0.02611
bess_96,3,roml_core_rust,canonical,ok,7,0.734893,0.730563,0.739513,0.692632,0.754963,0.00433,0.0002,0.735093,4358144,1,0.085462,0.503019,0.142023
bess_96,3,roml_core_rust_anon,canonical,ok,7,0.671902,0.641891,0.678312,0.640311,0.687202,0.00641,0.0002,0.672102,4268032,5.30385,0.057291,0.466298,0.142753
bess_96,3,roml_python_csr,canonical,ok,7,0.309126,0.308376,0.315416,0.308005,0.319226,0.001121,0.00101,0.310136,134025216,0.646561,0.091322,0.179813,0.038441
bess_96,3,roml_python_naive_chain,canonical,ok,7,1.66614,1.65477,1.70641,1.65017,1.87712,0.011369,0.00076,1.6669,134422528,13.1521,0.273115,1.01202,0.381157
bess_96,3,roml_python_vectorized,canonical,ok,7,0.478108,0.473218,0.479679,0.465119,0.487539,0.001749,0.0008,0.478908,134160384,1,0.035361,0.343826,0.094862
bess_96,10,jump_julia,canonical,ok,7,1.1727,1.1668,1.18242,1.16203,1.18313,0.0059,0.00286,1.17556,567865344,,0.268555,0.676243,0.228814
bess_96,10,ortools_mathopt_cpp,canonical,ok,7,0.942607,0.935156,0.965577,0.931457,1.11918,0.01115,0.00014,0.942747,18747392,,0.204713,0.608251,0.127983
bess_96,10,pulp_python,canonical,ok,7,15.1636,15.1498,15.3815,15.1141,15.4746,0.02869,0.00176,15.1654,135913472,13.1178,2.67172,10.4224,2.06731
bess_96,10,pyomo_python,canonical,ok,7,6.26332,6.23932,6.55035,6.199,7.53858,0.024,0.01955,6.28287,135151616,5.41829,1.81116,3.11747,1.34475
bess_96,10,pyoptinterface_python,canonical,ok,7,6.79984,6.77157,7.0652,6.75627,7.12306,0.04357,0.032031,6.83187,135413760,5.88242,2.70372,3.8877,0.207223
bess_96,10,pyoptinterface_scalar,canonical,ok,7,4.08774,4.05608,4.10077,4.01732,4.39318,0.02375,0.02616,4.1139,135221248,3.53623,2.06433,1.87568,0.124373
bess_96,10,roml_core_bulk,canonical,ok,7,0.387927,0.357567,0.395587,0.344136,0.428428,0.00766,0.00019,0.388117,4415488,,0.091882,0.254464,0.034891
bess_96,10,roml_core_l1,canonical,ok,7,0.479268,0.462069,0.484829,0.437037,0.491889,0.00937,0.00019,0.479458,4591616,,0.072041,0.317936,0.076001
bess_96,10,roml_core_rust,canonical,ok,7,2.46199,2.41072,2.57855,2.40915,2.59524,0.051272,0.00019,2.46218,7045120,1,0.284105,1.64021,0.501469
bess_96,10,roml_core_rust_anon,canonical,ok,7,2.24553,2.24129,2.26119,2.19928,2.43802,0.01261,0.00019,2.24572,6893568,5.78854,0.177413,1.55712,0.506699
bess_96,10,roml_python_csr,canonical,ok,7,0.815845,0.809854,0.816005,0.804184,0.826434,0.00213,0.00093,0.816775,135426048,0.705773,0.151463,0.57142,0.090741
bess_96,10,roml_python_naive_chain,canonical,ok,7,5.25996,5.25276,5.30235,5.23296,5.30487,0.0072,0.00075,5.26071,136790016,13.5592,0.880626,3.19884,1.18227
bess_96,10,roml_python_vectorized,canonical,ok,7,1.15596,1.14788,1.16011,1.14438,1.18736,0.005279,0.00081,1.15677,135434240,1,0.092162,0.931716,0.128662
bess_96,30,jump_julia,canonical,ok,7,3.61684,3.60453,3.633,3.59827,3.645,0.01231,0.00288,3.61972,567934976,,0.751094,2.10352,0.765584
bess_96,30,ortools_mathopt_cpp,canonical,ok,7,2.83194,2.76709,2.86244,2.7396,2.96704,0.030501,0.00014,2.83208,22208512,,0.696132,1.82128,0.315866
bess_96,30,pulp_python,canonical,ok,7,43.8143,43.6959,44.7573,43.3158,44.875,0.477638,0.00173,43.816,142303232,15.2115,9.23239,28.3658,6.20769
bess_96,30,pyomo_python,canonical,ok,7,35.5166,32.6421,36.2419,32.2657,37.5154,0.772303,0.019971,35.5366,140533760,12.3307,3.15554,10.0351,21.8466
bess_96,30,pyoptinterface_python,canonical,ok,7,20.2166,20.0471,20.2322,19.9885,20.2749,0.058331,0.032771,20.2493,138813440,7.01881,8.17779,11.3265,0.57712
bess_96,30,pyoptinterface_scalar,canonical,ok,7,12.3076,12.207,12.3692,12.1794,12.4072,0.091512,0.0267,12.3343,138428416,4.27298,6.28852,5.59337,0.333786
bess_96,30,roml_core_bulk,canonical,ok,7,1.03157,1.00013,1.05639,0.983798,1.06347,0.024821,0.0002,1.03177,6664192,,0.228204,0.676752,0.121952
bess_96,30,roml_core_l1,canonical,ok,7,1.27478,1.24419,1.28465,1.24287,1.29508,0.00987,0.00019,1.27497,7450624,,0.165353,0.896036,0.208204
bess_96,30,roml_core_rust,canonical,ok,7,6.95341,6.88157,7.21029,6.88074,7.31817,0.072671,0.00019,6.9536,14344192,1,0.687373,5.12179,1.14715
bess_96,30,roml_core_rust_anon,canonical,ok,7,6.44911,6.42553,6.48384,6.4103,6.76781,0.023581,0.0002,6.44932,13889536,6.25176,0.441248,4.8923,1.11201
bess_96,30,roml_python_csr,canonical,ok,7,2.10691,2.09768,2.10881,2.08584,2.14092,0.001899,0.00097,2.10788,138903552,0.731479,0.336116,1.5353,0.234115
bess_96,30,roml_python_naive_chain,canonical,ok,7,15.7741,15.6758,15.8091,15.6668,15.8775,0.035039,0.00075,15.7749,143679488,15.2914,2.66835,9.39738,3.6301
bess_96,30,roml_python_vectorized,canonical,ok,7,2.88034,2.86876,2.89611,2.86604,2.96605,0.01158,0.00085,2.88119,138878976,1,0.331386,2.32103,0.229364
bess_96,100,jump_julia,canonical,ok,7,13.4611,13.2278,13.5774,13.133,13.7332,0.149013,0.00272,13.4638,574935040,,2.72928,7.14534,3.47853
bess_96,100,ortools_mathopt_cpp,canonical,ok,7,10.2223,10.1353,10.5259,10.1339,11.0702,0.086982,0.00014,10.2224,36433920,,2.57811,6.51929,1.08615
bess_96,100,pulp_python,canonical,ok,7,168.468,167.989,169.355,167.781,169.708,0.478959,0.0018,168.469,164483072,17.4765,29.618,118.237,20.7256
bess_96,100,pyomo_python,canonical,ok,7,67.7039,67.3912,68.2851,67.0069,68.3196,0.312646,0.0197,67.7236,157597696,7.02347,7.94035,50.8118,9.0028
bess_96,100,pyoptinterface_python,canonical,ok,7,66.8897,66.7394,66.9592,66.6733,68.8577,0.102611,0.033671,66.9234,149594112,6.93901,27.0129,37.9141,2.0057
bess_96,100,pyoptinterface_scalar,canonical,ok,7,40.674,40.1864,40.7172,40.1743,40.954,0.280025,0.02669,40.7007,146890752,4.21944,20.4927,18.8894,1.1259
bess_96,100,roml_core_bulk,canonical,ok,7,3.72275,3.49212,3.89959,3.47931,3.92297,0.176844,0.00019,3.72294,15126528,,0.699893,2.56204,0.463859
bess_96,100,roml_core_l1,canonical,ok,7,4.2656,4.23648,4.29899,4.19791,4.36237,0.029129,0.00019,4.26579,17735680,,0.470418,3.11069,0.660702
bess_96,100,roml_core_rust,canonical,ok,7,25.2104,25.013,25.6745,24.8837,27.6366,0.197363,0.00019,25.2106,41582592,1,2.14928,18.6059,4.45706
bess_96,100,roml_core_rust_anon,canonical,ok,7,23.1656,22.9662,23.2028,22.962,23.6921,0.160262,0.00019,23.1658,40026112,6.22271,1.29231,17.6064,4.24029
bess_96,100,roml_python_csr,canonical,ok,7,6.97199,6.94599,7.03681,6.91447,7.06036,0.026,0.00097,6.97296,152248320,0.723261,0.943306,5.22764,0.801755
