workload,size,implementation,variant,status,replicates,median_ms,p25_ms,p75_ms,min_ms,max_ms,mad_ms,container_init_median_ms,user_build_total_median_ms,peak_rss_median_bytes,speedup_vs_baseline,phase_variables_ms,phase_constraints_ms,phase_objective_ms
bess_96,1,jump_julia,canonical,ok,7,0.124012,0.122562,0.124993,0.121412,0.128512,0.000981,0.00292,0.126932,568025088,,0.027891,0.067871,0.02812
bess_96,1,ortools_mathopt_cpp,canonical,ok,7,0.108752,0.106302,0.110342,0.105442,0.111842,0.00159,0.00013,0.108882,17440768,,0.020631,0.071311,0.01644
bess_96,1,pulp_python,canonical,ok,7,1.46957,1.46502,1.4761,1.45553,1.47838,0.00455,0.00164,1.47121,132796416,5.51029,0.277285,0.971707,0.220574
bess_96,1,pyomo_python,canonical,ok,7,0.944186,0.941737,0.953647,0.931967,2.31182,0.008981,0.01988,0.964066,132911104,3.54032,0.317865,0.514169,0.118532
bess_96,1,pyoptinterface_python,canonical,ok,7,0.873605,0.869526,0.880766,0.862765,0.884246,0.004079,0.030941,0.904546,134397952,3.27567,0.306906,0.532019,0.032501
bess_96,1,pyoptinterface_scalar,canonical,ok,7,0.456149,0.453378,0.458808,0.450498,0.462168,0.002659,0.02719,0.483339,134144000,1.71038,0.228955,0.202223,0.024001
bess_96,1,roml_core_bulk,canonical,ok,7,0.055241,0.054591,0.057311,0.053561,0.059641,0.00065,0.00019,0.055431,3198976,,0.013001,0.03,0.006571
bess_96,1,roml_core_l1,canonical,ok,7,0.080871,0.078892,0.083061,0.075931,0.083322,0.001979,0.00021,0.081081,3235840,,0.0108,0.048431,0.01522
bess_96,1,roml_core_rust,canonical,ok,7,0.267374,0.253925,0.268444,0.251754,0.269595,0.002221,0.00019,0.267564,3645440,1,0.040011,0.185914,0.03337
bess_96,1,roml_core_rust_anon,canonical,ok,7,0.234724,0.229824,0.241774,0.221914,0.244224,0.0049,0.0002,0.234924,3510272,4.24909,0.02471,0.170723,0.034151
bess_96,1,roml_python_csr,canonical,ok,7,0.166173,0.164513,0.170213,0.163513,0.176433,0.00166,0.0009,0.167073,133582848,0.623083,0.070921,0.071811,0.02329
bess_96,1,roml_python_naive_chain,canonical,ok,7,0.601601,0.595651,0.605251,0.59534,0.61143,0.00365,0.00076,0.602361,133775360,10.8905,0.098962,0.353696,0.147573
bess_96,1,roml_python_vectorized,canonical,ok,7,0.266695,0.260375,0.268585,0.257865,0.275564,0.00189,0.00078,0.267475,133844992,1,0.02094,0.161873,0.082332
bess_96,3,jump_julia,canonical,ok,7,0.360906,0.360526,0.368796,0.359086,0.371337,0.00045,0.00284,0.363746,568070144,,0.081182,0.201784,0.079241
bess_96,3,ortools_mathopt_cpp,canonical,ok,7,0.273525,0.272005,0.274244,0.270744,0.274635,0.00096,0.00014,0.273665,17686528,,0.053651,0.178323,0.040591
bess_96,3,pulp_python,canonical,ok,7,4.33317,4.30835,5.29026,4.30339,5.29507,0.02978,0.00172,4.33489,133505024,9.06693,0.786484,2.91494,0.631062
bess_96,3,pyomo_python,canonical,ok,7,2.79601,2.75429,2.82672,2.71192,2.92028,0.03071,0.019761,2.81577,133373952,5.85051,0.469118,1.99263,0.273465
bess_96,3,pyoptinterface_python,canonical,ok,7,2.19851,2.18574,2.21036,2.18534,2.22258,0.01185,0.031731,2.23024,134578176,4.60027,0.824134,1.28794,0.076072
bess_96,3,pyoptinterface_scalar,canonical,ok,7,1.25617,1.24787,1.25903,1.24021,1.26669,0.00544,0.026331,1.2825,134373376,2.62848,0.628721,0.58044,0.047081
bess_96,3,roml_core_bulk,canonical,ok,7,0.128983,0.128223,0.130932,0.122363,0.131222,0.001259,0.00019,0.129173,3473408,,0.032711,0.077451,0.012691
bess_96,3,roml_core_l1,canonical,ok,7,0.173833,0.172743,0.180103,0.155692,0.183723,0.00189,0.0002,0.174033,3575808,,0.028221,0.113522,0.025831
bess_96,3,roml_core_rust,canonical,ok,7,0.721643,0.686932,0.721913,0.677382,0.723373,0.00027,0.0002,0.721843,4313088,1,0.084511,0.482879,0.141513
bess_96,3,roml_core_rust_anon,canonical,ok,7,0.666662,0.625051,0.676942,0.624851,0.682393,0.01028,0.00019,0.666852,4263936,5.1686,0.058281,0.461138,0.140222
bess_96,3,roml_python_csr,canonical,ok,7,0.311246,0.305765,0.319646,0.305525,0.321506,0.005481,0.00098,0.312226,134201344,0.651266,0.090782,0.179853,0.039271
bess_96,3,roml_python_naive_chain,canonical,ok,7,1.65762,1.6464,1.65861,1.64376,1.66068,0.00099,0.00077,1.65839,134410240,12.8515,0.270615,1.00524,0.379357
bess_96,3,roml_python_vectorized,canonical,ok,7,0.477909,0.474538,0.484829,0.470359,0.489978,0.003371,0.00083,0.478739,134189056,1,0.03549,0.345427,0.094291
bess_96,10,jump_julia,canonical,ok,7,1.17976,1.16294,1.19833,1.15783,1.21077,0.016821,0.0027,1.18246,567844864,,0.265444,0.685542,0.227334
bess_96,10,ortools_mathopt_cpp,canonical,ok,7,0.939087,0.927757,0.944387,0.925266,0.947037,0.006461,0.00014,0.939227,18718720,,0.200844,0.602901,0.128732
bess_96,10,pulp_python,canonical,ok,7,15.1431,15.1111,15.2278,15.0762,15.2588,0.03193,0.00174,15.1448,135823360,13.1264,2.66458,10.4177,2.06573
bess_96,10,pyomo_python,canonical,ok,7,6.27657,6.19484,6.366,6.12363,6.5025,0.081732,0.01965,6.29622,135208960,5.44071,1.83999,3.10086,1.33441
bess_96,10,pyoptinterface_python,canonical,ok,7,6.78138,6.76087,6.7914,6.75769,6.8891,0.01002,0.032151,6.81353,135421952,5.8783,2.67936,3.89256,0.208834
