workload,size,implementation,variant,status,replicates,median_ms,p25_ms,p75_ms,min_ms,max_ms,mad_ms,container_init_median_ms,user_build_total_median_ms,peak_rss_median_bytes,speedup_vs_baseline,phase_variables_ms,phase_constraints_ms,phase_objective_ms
bess_96,1,jump_julia,canonical,ok,7,0.123802,0.123462,0.125692,0.121052,0.126722,0.00034,0.00296,0.126762,567898112,,0.02777,0.067771,0.02882
bess_96,1,ortools_mathopt_cpp,canonical,ok,7,0.107462,0.107152,0.109182,0.106251,0.109852,0.00046,0.00012,0.107582,17432576,,0.0207,0.070701,0.01602
bess_96,1,pulp_python,canonical,ok,7,1.47005,1.46454,1.4751,1.46071,1.48356,0.005051,0.00178,1.47183,132870144,5.47862,0.274435,0.973747,0.219264
bess_96,1,pyomo_python,canonical,ok,7,0.949797,0.934287,0.953577,0.917126,0.958498,0.00617,0.02021,0.970007,132861952,3.53974,0.310415,0.509399,0.119852
bess_96,1,pyoptinterface_python,canonical,ok,7,0.877135,0.872976,0.880856,0.865546,0.893696,0.003721,0.032291,0.909426,134328320,3.26894,0.308366,0.534449,0.033381
bess_96,1,pyoptinterface_scalar,canonical,ok,7,0.458998,0.455408,0.462589,0.452118,0.467718,0.00359,0.026981,0.485979,134193152,1.71061,0.231034,0.201384,0.024421
bess_96,1,roml_core_bulk,canonical,ok,7,0.055831,0.053881,0.056031,0.053511,0.056281,0.00045,0.0002,0.056031,3194880,,0.012261,0.030571,0.00641
bess_96,1,roml_core_l1,canonical,ok,7,0.079941,0.079162,0.081281,0.074761,0.081941,0.000779,0.00018,0.080121,3231744,,0.01071,0.048281,0.01504
bess_96,1,roml_core_rust,canonical,ok,7,0.251015,0.244524,0.271165,0.241024,0.277105,0.009991,0.0002,0.251215,3649536,1,0.036651,0.175843,0.03347
bess_96,1,roml_core_rust_anon,canonical,ok,7,0.234624,0.228624,0.242224,0.218594,0.243174,0.006,0.0002,0.234824,3518464,4.2024,0.02342,0.170533,0.034381
bess_96,1,roml_python_csr,canonical,ok,7,0.168723,0.166393,0.173263,0.165173,0.177403,0.003,0.00099,0.169713,133566464,0.628803,0.072981,0.072361,0.02431
bess_96,1,roml_python_naive_chain,canonical,ok,7,0.600261,0.593061,0.618061,0.591181,0.621371,0.00799,0.00074,0.601001,133672960,10.7514,0.099562,0.357246,0.145063
bess_96,1,roml_python_vectorized,canonical,ok,7,0.268324,0.262175,0.272934,0.259514,0.284005,0.00461,0.0008,0.269124,133783552,1,0.022331,0.159313,0.085211
bess_96,3,jump_julia,canonical,ok,7,0.360757,0.360396,0.364406,0.358256,0.365476,0.00173,0.00273,0.363487,567877632,,0.081181,0.199933,0.078981
bess_96,3,ortools_mathopt_cpp,canonical,ok,7,0.276215,0.273175,0.280575,0.273065,0.286405,0.00304,0.00015,0.276365,17641472,,0.053681,0.181013,0.041161
bess_96,3,pulp_python,canonical,ok,7,4.35739,4.31057,4.37516,4.3034,5.38669,0.017771,0.00167,4.35906,133525504,9.10258,0.791854,2.91332,0.632441
bess_96,3,pyomo_python,canonical,ok,7,2.78776,2.76817,2.83857,2.74895,3.02913,0.02397,0.019621,2.80738,133373952,5.82363,0.463118,2.05205,0.266635
bess_96,3,pyoptinterface_python,canonical,ok,7,2.20049,2.18488,2.21062,2.18371,2.2126,0.01013,0.03193,2.23242,134631424,4.59682,0.829624,1.29121,0.076681
bess_96,3,pyoptinterface_scalar,canonical,ok,7,1.25832,1.25266,1.26898,1.25094,1.28629,0.00738,0.026251,1.28457,134340608,2.62864,0.633552,0.577491,0.047931
bess_96,3,roml_core_bulk,canonical,ok,7,0.121673,0.112892,0.131843,0.111722,0.156923,0.008781,0.00019,0.121863,3473408,,0.031381,0.069481,0.012731
bess_96,3,roml_core_l1,canonical,ok,7,0.160493,0.157572,0.173373,0.153392,0.174743,0.007101,0.00019,0.160683,3579904,,0.02484,0.105282,0.02514
bess_96,3,roml_core_rust,canonical,ok,7,0.722983,0.687542,0.736243,0.672582,0.746323,0.02334,0.0002,0.723183,4313088,1,0.076621,0.474088,0.140403
bess_96,3,roml_core_rust_anon,canonical,ok,7,0.660792,0.633321,0.669672,0.616321,0.680832,0.02004,0.00019,0.660982,4263936,5.43088,0.055831,0.461099,0.137772
bess_96,3,roml_python_csr,canonical,ok,7,0.312346,0.309586,0.320445,0.306075,0.322176,0.006271,0.00099,0.313336,133931008,0.652491,0.091442,0.184344,0.03916
bess_96,3,roml_python_naive_chain,canonical,ok,7,1.66869,1.64865,1.67239,1.64681,1.67769,0.0037,0.00078,1.66947,134291456,13.7145,0.271605,1.01009,0.385247
bess_96,3,roml_python_vectorized,canonical,ok,7,0.478698,0.473258,0.485559,0.469568,0.487669,0.00544,0.00085,0.479548,134156288,1,0.035721,0.347297,0.094761
bess_96,10,jump_julia,canonical,ok,7,1.17533,1.16671,1.18616,1.16223,1.20406,0.00862,0.00285,1.17818,568020992,,0.268435,0.679142,0.228344
bess_96,10,ortools_mathopt_cpp,canonical,ok,7,0.936237,0.932057,0.949077,0.930977,0.953907,0.00526,0.00013,0.936367,18767872,,0.201753,0.609131,0.128702
bess_96,10,pulp_python,canonical,ok,7,15.2496,15.1561,15.4427,15.139,15.8195,0.093492,0.00166,15.2513,135966720,13.0918,2.70198,10.3783,2.0783
bess_96,10,pyomo_python,canonical,ok,7,6.3547,6.21634,6.70179,6.18149,7.67403,0.138363,0.019791,6.37449,135471104,5.45552,1.87052,3.12476,1.31621
bess_96,10,pyoptinterface_python,canonical,ok,7,6.77662,6.73804,6.79639,6.72977,6.83864,0.034831,0.032581,6.8092,135417856,5.81774,2.70033,3.86143,0.207534
bess_96,10,pyoptinterface_scalar,canonical,ok,7,4.07082,4.0621,4.07647,4.01689,4.15247,0.00565,0.02676,4.09758,135237632,3.49481,2.04928,1.88596,0.125363
