workload,size,implementation,variant,status,replicates,median_ms,p25_ms,p75_ms,min_ms,max_ms,mad_ms,container_init_median_ms,user_build_total_median_ms,peak_rss_median_bytes,speedup_vs_baseline,phase_variables_ms,phase_constraints_ms,phase_objective_ms
bess_96,10,jump_julia,canonical,ok,5,1.18373,1.17198,1.18571,1.17198,1.18634,0.002609,0.00295,1.18668,567795712,,0.265055,0.681352,0.230344
bess_96,10,ortools_mathopt_cpp,canonical,ok,5,0.946177,0.938902,0.948007,0.935507,0.949527,0.00335,0.00013,0.946307,18755584,,0.204613,0.607531,0.128273
bess_96,10,pulp_python,canonical,ok,5,15.3435,15.2053,15.6207,15.1706,15.8129,0.103412,0.00175,15.3452,135815168,13.2437,2.70075,10.4437,2.09493
bess_96,10,pyomo_python,canonical,ok,5,6.34215,6.2407,6.44899,6.18617,6.55307,0.046921,0.019651,6.36181,135348224,5.47421,1.83212,3.12631,1.32775
bess_96,10,pyoptinterface_python,canonical,ok,5,6.80554,6.75325,6.90915,6.74984,6.93384,0.055701,0.032781,6.83832,135438336,5.87419,2.69497,3.89721,0.209044
bess_96,10,pyoptinterface_scalar,canonical,ok,5,4.0843,4.06722,4.14518,4.06161,4.16128,0.02269,0.026821,4.11113,135290880,3.52536,2.05529,1.8901,0.135172
bess_96,10,roml_core_bulk,canonical,ok,5,0.394817,0.385068,0.412662,0.381917,0.425878,0.006599,0.00019,0.395007,4419584,,0.095642,0.256795,0.034281
bess_96,10,roml_core_l1,canonical,ok,5,0.479758,0.449843,0.492609,0.440068,0.499919,0.02014,0.00019,0.479948,4603904,,0.074081,0.321716,0.075331
bess_96,10,roml_core_rust,canonical,ok,5,2.3962,2.36448,2.44619,2.35587,2.47904,0.023111,0.00021,2.39641,7049216,1,0.285296,1.59873,0.5046
bess_96,10,roml_core_rust_anon,canonical,ok,5,2.20827,2.20375,2.21247,2.20028,2.21408,0.00259,0.00019,2.20846,6905856,5.59315,0.175963,1.53125,0.501449
bess_96,10,roml_python_csr,canonical,ok,5,0.823555,0.81062,0.83872,0.804454,0.840615,0.01327,0.00097,0.824525,135565312,0.710849,0.153372,0.579601,0.090741
bess_96,10,roml_python_naive_chain,canonical,ok,5,5.26861,5.2568,5.30432,5.25259,5.32012,0.016029,0.00081,5.26943,136810496,13.3444,0.883226,3.21308,1.18862
bess_96,10,roml_python_vectorized,canonical,ok,5,1.15855,1.15432,1.19213,1.15298,1.19866,0.00557,0.00076,1.15931,135499776,1,0.090972,0.936217,0.129812
bess_96,30,jump_julia,canonical,ok,5,3.65887,3.60776,3.68651,3.5832,3.70913,0.026561,0.00287,3.66174,567869440,,0.771424,2.10996,0.767814
bess_96,30,ortools_mathopt_cpp,canonical,ok,5,2.84759,2.81016,2.89903,2.79758,2.91884,0.031621,0.00014,2.84773,22183936,,0.703712,1.83618,0.309826
bess_96,30,pulp_python,canonical,ok,5,43.8909,43.5289,44.2975,43.4823,44.5089,0.315386,0.00183,43.8927,142295040,15.1803,9.24243,28.3782,6.25611
