workload,size,implementation,variant,status,replicates,median_ms,p25_ms,p75_ms,min_ms,max_ms,mad_ms,container_init_median_ms,user_build_total_median_ms,peak_rss_median_bytes,speedup_vs_baseline,phase_variables_ms,phase_constraints_ms,phase_objective_ms
bess_96,1,jump_julia,canonical,ok,3,0.149853,0.148353,0.153683,0.148353,0.153683,0.0015,0.016061,0.165914,576122880,,0.031661,0.086201,0.031681
bess_96,1,ortools_mathopt_cpp,canonical,ok,3,0.090631,0.089202,0.090691,0.089202,0.090691,6e-05,0.01798,0.108611,17911808,,0.010741,0.063611,0.01601
bess_96,1,pulp_python,canonical,ok,3,1.5612,1.55764,1.57901,1.55764,1.57901,0.00356,0.00172,1.56292,136830976,6.715,0.276485,1.05979,0.222504
bess_96,1,pyomo_python,canonical,ok,3,1.07338,1.04537,2.20614,1.04537,2.20614,0.028012,0.01979,1.09317,136884224,4.61681,0.425307,0.517209,0.123302
bess_96,1,pyoptinterface_python,canonical,ok,3,0.946077,0.898756,0.949887,0.898756,0.949887,0.00381,0.034531,0.980608,138440704,4.06925,0.329766,0.57705,0.036601
bess_96,1,pyoptinterface_scalar,canonical,ok,3,0.468659,0.466639,0.475289,0.466639,0.475289,0.00202,0.02737,0.496029,138334208,2.01579,0.235625,0.206163,0.026471
bess_96,1,roml_core_bulk,canonical,ok,3,0.067071,0.065801,0.068131,0.065801,0.068131,0.00106,0.0002,0.067271,3006464,,0.036951,0.019991,0.00543
bess_96,1,roml_core_rust,canonical,ok,3,0.272845,0.261724,0.275015,0.261724,0.275015,0.00217,0.0002,0.273045,3407872,1,0.039251,0.192753,0.034201
bess_96,1,roml_core_rust_anon,canonical,ok,3,0.254585,0.249865,0.255405,0.249865,0.255405,0.00082,0.00021,0.254795,3244032,3.79575,0.026251,0.185353,0.035731
bess_96,1,roml_python_bulk,canonical,ok,3,0.232494,0.226614,0.284025,0.226614,0.284025,0.00588,0.00079,0.233284,137469952,1,0.040261,0.098711,0.096482
bess_96,1,roml_python_csr,canonical,ok,3,0.178104,0.171133,0.180623,0.171133,0.180623,0.002519,0.00086,0.178964,137482240,0.766058,0.093001,0.067631,0.0154
bess_96,1,roml_python_naive_chain,canonical,ok,3,0.624561,0.620601,0.641941,0.620601,0.641941,0.00396,0.00069,0.625251,137404416,9.31194,0.103892,0.360547,0.165103
bess_96,10,jump_julia,canonical,ok,3,1.20011,1.18825,1.21791,1.18825,1.21791,0.011861,0.01693,1.21704,576757760,,0.271355,0.689162,0.239595
bess_96,10,ortools_mathopt_cpp,canonical,ok,3,0.808984,0.807635,1.06267,0.807635,1.06267,0.001349,0.01874,0.827724,19267584,,0.111652,0.56457,0.137523
bess_96,10,pulp_python,canonical,ok,3,15.5762,15.3689,15.969,15.3689,15.969,0.207314,0.00168,15.5779,139804672,16.7188,2.74321,10.7418,2.08732
bess_96,10,pyomo_python,canonical,ok,3,6.67813,6.47386,10.2198,6.47386,10.2198,0.204264,0.01936,6.69749,138735616,7.16801,2.08261,3.20923,1.3863
bess_96,10,pyoptinterface_python,canonical,ok,3,7.18505,6.83887,10.0113,6.83887,10.0113,0.346176,0.03385,7.2189,139489280,7.71212,2.86212,4.07802,0.244904
bess_96,10,pyoptinterface_scalar,canonical,ok,3,4.0759,4.05944,4.11436,4.05944,4.11436,0.01646,0.026861,4.10276,139321344,4.3749,2.0391,1.90408,0.128762
bess_96,10,roml_core_bulk,canonical,ok,3,0.535079,0.523029,0.538,0.523029,0.538,0.002921,0.00022,0.535299,4640768,,0.256304,0.234314,0.03605
bess_96,10,roml_core_rust,canonical,ok,3,2.61873,2.53138,3.52508,2.53138,3.52508,0.087342,0.00022,2.61895,6803456,1,0.287535,1.74982,0.5756
bess_96,10,roml_core_rust_anon,canonical,ok,3,2.35189,2.29356,44.0179,2.29356,44.0179,0.058331,0.0002,2.35209,6623232,4.39541,0.178453,1.64049,0.527319
bess_96,10,roml_python_bulk,canonical,ok,3,0.931657,0.929356,0.991617,0.929356,0.991617,0.002301,0.00081,0.932467,139001856,1,0.214714,0.58597,0.133653
