workload,size,implementation,variant,status,replicates,median_ms,p25_ms,p75_ms,min_ms,max_ms,mad_ms,container_init_median_ms,user_build_total_median_ms,peak_rss_median_bytes,speedup_vs_baseline,phase_variables_ms,phase_constraints_ms,phase_objective_ms
bess_96,1,jump_julia,canonical,ok,7,0.150493,0.149223,0.151833,0.147963,0.243145,0.00127,0.01722,0.167713,575803392,,0.03222,0.085822,0.032131
bess_96,1,ortools_mathopt_cpp,canonical,ok,7,0.095362,0.094402,0.097932,0.092652,0.166932,0.001609,0.020841,0.116203,17932288,,0.012261,0.066411,0.01727
bess_96,1,pulp_python,canonical,ok,7,1.64714,1.56763,1.6726,1.56761,1.69153,0.044391,0.0018,1.64894,136904704,6.92151,0.294235,1.11855,0.234664
bess_96,1,pyomo_python,canonical,ok,7,1.22047,1.12646,2.78558,1.09931,3.3402,0.121162,0.02122,1.24169,136884224,5.12859,0.448928,0.55545,0.136373
bess_96,1,pyoptinterface_python,canonical,ok,7,1.00643,0.966977,1.03791,0.945127,1.46343,0.039202,0.03761,1.04404,138473472,4.22915,0.347706,0.617611,0.041111
bess_96,1,pyoptinterface_scalar,canonical,ok,7,0.506419,0.495079,0.516469,0.494429,0.53461,0.01005,0.02988,0.536299,137990144,2.12804,0.259554,0.218054,0.03003
bess_96,1,roml_core_bulk,canonical,ok,7,0.070382,0.067621,0.071921,0.067332,0.098432,0.001539,0.0002,0.070582,3018752,,0.03703,0.020721,0.00595
bess_96,1,roml_core_rust,canonical,ok,7,0.279655,0.276144,0.292205,0.271345,0.315706,0.003511,0.00021,0.279865,3391488,1,0.041821,0.199174,0.03539
bess_96,1,roml_core_rust_anon,canonical,ok,7,0.262325,0.248544,0.274335,0.244965,0.369676,0.01201,0.0002,0.262525,3227648,3.72716,0.02678,0.197533,0.03631
bess_96,1,roml_python_bulk,canonical,ok,7,0.237974,0.232334,0.256525,0.228663,0.275785,0.00564,0.00082,0.238794,137129984,1,0.04219,0.103372,0.092331
bess_96,1,roml_python_csr,canonical,ok,7,0.190784,0.181353,0.202973,0.178423,0.218334,0.009431,0.00106,0.191844,137392128,0.801701,0.102022,0.070741,0.01659
bess_96,1,roml_python_naive_chain,canonical,ok,7,0.700592,0.690122,0.720523,0.677292,0.989168,0.01047,0.00074,0.701332,137347072,9.95414,0.114472,0.400707,0.188783
bess_96,3,jump_julia,canonical,ok,7,0.385507,0.383777,0.389567,0.380116,0.405357,0.00173,0.016571,0.402078,576675840,,0.085532,0.221144,0.081042
bess_96,3,ortools_mathopt_cpp,canonical,ok,7,0.243065,0.239434,0.244724,0.238324,0.337586,0.001659,0.02209,0.265155,18173952,,0.028231,0.170123,0.043971
