workload,size,implementation,variant,status,replicates,median_ms,p25_ms,p75_ms,min_ms,max_ms,mad_ms,container_init_median_ms,user_build_total_median_ms,peak_rss_median_bytes,speedup_vs_baseline,phase_variables_ms,phase_constraints_ms,phase_objective_ms
bess_96,1,jump_julia,canonical,ok,7,0.126102,0.123172,0.127092,0.122973,0.127183,0.001081,0.00328,0.129382,577724416,,0.02746,0.067892,0.028871
bess_96,1,ortools_mathopt_cpp,canonical,ok,7,0.110652,0.107912,0.111682,0.105642,0.114052,0.00154,0.00016,0.110812,17793024,,0.020971,0.072391,0.01619
bess_96,1,pulp_python,canonical,ok,7,1.49438,1.45765,1.55421,1.45556,1.57344,0.03882,0.00176,1.49614,136835072,6.89689,0.274885,0.989557,0.220104
bess_96,1,pyomo_python,canonical,ok,7,1.05493,1.0038,1.9934,0.995398,2.37231,0.05953,0.019261,1.07419,136892416,4.86873,0.397807,0.506229,0.120922
bess_96,1,pyoptinterface_python,canonical,ok,7,0.877445,0.868135,0.898906,0.859556,0.901076,0.009471,0.032841,0.910286,138448896,4.04961,0.308456,0.538539,0.032091
bess_96,1,pyoptinterface_scalar,canonical,ok,7,0.468518,0.458748,0.472409,0.458168,0.475978,0.005549,0.027141,0.495659,138178560,2.16232,0.235604,0.206713,0.02543
bess_96,1,roml_core_bulk,canonical,ok,7,0.067751,0.066471,0.070062,0.063572,0.072401,0.00128,0.00019,0.067941,3006464,,0.03702,0.0196,0.00576
bess_96,1,roml_core_rust,canonical,ok,7,0.277025,0.266285,0.282675,0.263275,0.287775,0.00565,0.00018,0.277205,3391488,1,0.040601,0.196933,0.034841
bess_96,1,roml_core_rust_anon,canonical,ok,7,0.242514,0.239234,0.247335,0.235584,0.254535,0.00379,0.00019,0.242704,3256320,3.57949,0.02564,0.176633,0.0353
bess_96,1,roml_python_bulk,canonical,ok,7,0.216674,0.212263,0.221664,0.210604,0.222224,0.004411,0.00076,0.217434,137338880,1,0.03546,0.095512,0.082591
bess_96,1,roml_python_csr,canonical,ok,7,0.168353,0.160953,0.174383,0.159762,0.184933,0.00728,0.00087,0.169223,137388032,0.776988,0.090612,0.062491,0.013871
bess_96,1,roml_python_naive_chain,canonical,ok,7,0.626821,0.60123,0.630972,0.59894,0.632791,0.00597,0.00075,0.627571,137437184,9.25183,0.104112,0.356837,0.162123
bess_96,3,jump_julia,canonical,ok,7,0.358366,0.354747,0.361277,0.354257,0.369156,0.002911,0.0029,0.361266,577523712,,0.080642,0.198784,0.077961
bess_96,3,ortools_mathopt_cpp,canonical,ok,7,0.282896,0.278535,0.289165,0.276645,0.294396,0.004361,0.00015,0.283046,18014208,,0.054421,0.185594,0.041641
bess_96,3,pulp_python,canonical,ok,7,4.37497,4.3663,5.54896,4.3515,5.7074,0.02347,0.00171,4.37668,137412608,11.5876,0.864475,2.88007,0.630421
bess_96,3,pyomo_python,canonical,ok,7,3.07056,2.79864,3.2627,2.77728,3.42746,0.266594,0.0195,3.09006,137220096,8.13272,0.495988,2.24654,0.300235
bess_96,3,pyoptinterface_python,canonical,ok,7,2.1933,2.18486,2.23367,2.18474,2.24136,0.008441,0.031051,2.22435,138616832,5.80919,0.834455,1.28152,0.075701
